,DOM,time
988,1,94404258
989,1,94601259
990,1,94798259
991,1,94995260
992,1,95192260
993,1,95389261
994,1,95586261
995,1,95783262
996,1,95980262
997,1,96177263
998,1,96374263
999,1,96571264
1000,1,96768264
1001,1,96965265
1002,1,97162265
1003,1,97359266
1004,1,97556266
1005,1,97753267
1006,1,97950267
1007,1,98147268
1008,1,98344268
1009,1,98541269
1010,1,98738269
1011,1,98935270
1012,1,99132270
1013,1,99329271
1014,1,99526271
1015,1,99723271
1016,1,99920272
1017,3,40955
1018,3,237956
1019,3,434957
1020,3,631958
1021,3,828958
1022,3,1025959
1023,3,1222960
1024,3,1419961
1025,3,1616962
1026,3,1813963
1027,3,2010964
1028,3,2207965
1029,3,2404965
1030,3,2601966
1031,3,2798967
1032,3,2995968
1033,3,3192969
1034,3,3389969
1035,3,3586970
1036,3,3783971
1037,3,3980972
1038,3,4177973
1039,3,4374974
1040,3,4571975
1041,3,4768975
1042,3,4965976
1043,3,5162977
1044,3,5359978
1045,3,5556979
1046,3,5753980
1047,3,5950981
1048,3,6147981
1049,3,6344982
1050,3,6541983
1051,3,6738984
1052,3,6935985
1053,3,7132986
1054,3,7329987
1055,3,7526987
1056,3,7723988
1057,3,7920989
1058,3,8117990
1059,3,8314991
1060,3,8511992
1061,3,8708993
1062,3,8905994
1063,3,9102994
1064,3,9299995
1065,3,9496996
1066,3,9693997
1067,3,9890998
1068,3,10087999
1069,3,10284999
1070,3,10482000
1071,3,10679001
1072,3,10876002
1073,3,11073003
1074,3,11270004
1075,3,11467005
1076,3,11664005
1077,3,11861006
1078,3,12058007
1079,3,12255008
1080,3,12452009
1081,3,12649010
1082,3,12846011
1083,3,13043011
1084,3,13240012
1085,3,13437013
1086,3,13634014
1087,3,13831015
1088,3,14028016
1089,3,14225017
1090,3,14422017
1091,3,14619018
1092,3,14816019
1093,3,15013020
1094,3,15210021
1095,3,15407022
1096,3,15604023
1097,3,15801023
1098,3,15998024
1099,3,16195025
1100,3,16392026
1101,3,16589027
1102,3,16786028
1103,3,16983029
1104,3,17180029
1105,3,17377030
1106,3,17574031
1107,3,17771032
1108,3,17968033
1109,3,18165034
1110,3,18362035
1111,3,18559035
1112,3,18756036
1113,3,18953037
1114,3,19150038
1115,3,19347039
1116,3,19544040
1117,3,19741040
1118,3,19938041
1119,3,20135042
1120,3,20332043
1121,3,20529044
1122,3,20726045
1123,3,20923046
1124,3,21120046
1125,3,21317047
1126,3,21514048
1127,3,21711049
1128,3,21908050
1129,3,22105051
1130,3,22302052
1131,3,22499053
1132,3,22696053
1133,3,22893054
1134,3,23090055
1135,3,23287056
1136,3,23484057
1137,3,23681058
1138,3,23878059
1139,3,24075059
1140,3,24272060
1141,3,24469061
1142,3,24666062
1143,3,24863063
1144,3,25060064
1145,3,25257065
1146,3,25454065
1147,3,25651066
1148,3,25848067
1149,3,26045068
1150,3,26242069
1151,3,26439070
1152,3,26636071
1153,3,26833071
1154,3,27030072
1155,3,27227073
1156,3,27424074
1157,3,27621075
1158,3,27818076
1159,3,28015077
1160,3,28212077
1161,3,28409078
1162,3,28606079
1163,3,28803080
1164,3,29000080
1165,3,29197081
1166,3,29394081
1167,3,29591082
1168,3,29788082
1169,3,29985083
1170,3,30182083
1171,3,30379084
1172,3,30576084
1173,3,30773085
1174,3,30970085
1175,3,31167086
1176,3,31364086
1177,3,31561086
1178,3,31758087
1179,3,31955087
1180,3,32152088
1181,3,32349088
1182,3,32546089
1183,3,32743089
1184,3,32940090
1185,3,33137090
1186,3,33334091
1187,3,33531091
1188,3,33728092
1189,3,33925092
1190,3,34122093
1191,3,34319093
1192,3,34516094
1193,3,34713094
1194,3,34910095
1195,3,35107095
1196,3,35304096
1197,3,35501096
1198,3,35698097
1199,3,35895097
1200,3,36092098
1201,3,36289098
1202,3,36486099
1203,3,36683099
1204,3,36880100
1205,3,37077100
1206,3,37274101
1207,3,37471101
1208,3,37668102
1209,3,37865102
1210,3,38062102
1211,3,38259103
1212,3,38456103
1213,3,38653104
1214,3,38850104
1215,3,39047105
1216,3,39244105
1217,3,39441106
1218,3,39638106
1219,3,39835107
1220,3,40032107
1221,3,40229108
1222,3,40426108
1223,3,40623109
1224,3,40820109
1225,3,41017110
1226,3,41214110
1227,3,41411111
1228,3,41608111
1229,3,41805112
1230,3,42002112
1231,3,42199113
1232,3,42396113
1233,3,42593114
1234,3,42790114
1235,3,42987115
1236,3,43184115
1237,3,43381115
1238,3,43578116
1239,3,43775116
1240,3,43972117
1241,3,44169117
1242,3,44366118
1243,3,44563118
1244,3,44760119
1245,3,44957119
1246,3,45154120
1247,3,45351120
1248,3,45548121
1249,3,45745121
1250,3,45942122
1251,3,46139122
1252,3,46336123
1253,3,46533123
1254,3,46730124
1255,3,46927124
1256,3,47124125
1257,3,47321125
1258,3,47518126
1259,3,47715126
1260,3,47912127
1261,3,48109127
1262,3,48306128
1263,3,48503128
1264,3,48700129
1265,3,48897129
1266,3,49094130
1267,3,49291130
1268,3,49488131
1269,3,49685131
1270,3,49882131
1271,3,50079132
1272,3,50276132
1273,3,50473133
1274,3,50670133
1275,3,50867134
1276,3,51064134
1277,3,51261135
1278,3,51458135
1279,3,51655136
1280,3,51852136
1281,3,52049137
1282,3,52246137
1283,3,52443138
1284,3,52640138
1285,3,52837139
1286,3,53034139
1287,3,53231140
1288,3,53428140
1289,3,53625141
1290,3,53822141
1291,3,54019142
1292,3,54216142
1293,3,54413143
1294,3,54610143
1295,3,54807143
1296,3,55004144
1297,3,55201145
1298,3,55398145
1299,3,55595145
1300,3,55792146
1301,3,55989146
1302,3,56186147
1303,3,56383147
1304,3,56580148
1305,3,56777148
1306,3,56974149
1307,3,57171149
1308,3,57368150
1309,3,57565150
1310,3,57762151
1311,3,57959151
1312,3,58156152
1313,3,58353152
1314,3,58550153
1315,3,58747153
1316,3,58944154
1317,3,59141154
1318,3,59338155
1319,3,59535155
1320,3,59732156
1321,3,59929156
1322,3,60126157
1323,3,60323157
1324,3,60520158
1325,3,60717158
1326,3,60914158
1327,3,61111159
1328,3,61308159
1329,3,61505160
1330,3,61702161
1331,3,61899161
1332,3,62096162
1333,3,62293162
1334,3,62490163
1335,3,62687163
1336,3,62884163
1337,3,63081164
1338,3,63278164
1339,3,63475165
1340,3,63672165
1341,3,63869166
1342,3,64066166
1343,3,64263167
1344,3,64460167
1345,3,64657168
1346,3,64854168
1347,3,65051169
1348,3,65248169
1349,3,65445170
1350,3,65642170
1351,3,65839171
1352,3,66036171
1353,3,66233172
1354,3,66430172
1355,3,66627173
1356,3,66824173
1357,3,67021174
1358,3,67218174
1359,3,67415175
1360,3,67612175
1361,3,67809176
1362,3,68006176
1363,3,68203177
